week_end,pathogen,percent_deaths
2019-06-29,Influenza,0
2019-06-29,RSV,0
2019-07-06,COVID-19,0
2019-07-06,Influenza,0
2019-07-06,RSV,0
2019-07-13,COVID-19,0
2019-07-13,Influenza,0
2019-07-13,RSV,0
2019-07-20,COVID-19,0
2019-07-20,RSV,0
2019-07-27,COVID-19,0
2019-07-27,RSV,0
2019-08-03,COVID-19,0
2019-08-10,COVID-19,0
2019-08-10,RSV,0
2019-08-17,COVID-19,0
2019-08-17,RSV,0
2019-08-24,COVID-19,0
2019-08-24,RSV,0
2019-08-31,COVID-19,0
2019-08-31,Influenza,0
2019-09-07,COVID-19,0
2019-09-07,Influenza,0
2019-09-14,COVID-19,0
2019-09-14,Influenza,0
2019-09-21,COVID-19,0
2019-09-21,Influenza,0
2019-09-28,COVID-19,0
2019-09-28,Influenza,0
2019-09-28,RSV,0
2019-10-05,COVID-19,0
2019-10-05,Influenza,0
2019-10-12,COVID-19,0
2019-10-12,Influenza,0
2019-10-12,RSV,0
2019-10-19,COVID-19,0
2019-10-19,Influenza,0
2019-10-26,COVID-19,0
2019-10-26,Influenza,0.1
2019-11-02,COVID-19,0
2019-11-02,Influenza,0.1
2019-11-09,COVID-19,0
2019-11-09,Influenza,0.1
2019-11-16,COVID-19,0
2019-11-16,Influenza,0.1
2019-11-23,COVID-19,0
2019-11-23,Influenza,0.1
2019-11-30,COVID-19,0
2019-11-30,Influenza,0.1
2019-12-07,COVID-19,0
2019-12-07,Influenza,0.2
2019-12-14,COVID-19,0
2019-12-14,Influenza,0.2
2019-12-21,COVID-19,0
2019-12-21,Influenza,0.2
2019-12-21,RSV,0
2019-12-28,COVID-19,0
2019-12-28,Influenza,0.3
2019-12-28,RSV,0
2020-01-04,COVID-19,0
2020-01-04,Influenza,0.7
2020-01-04,RSV,0
2020-01-11,Influenza,0.8
2020-01-11,RSV,0
2020-01-18,Influenza,0.8
2020-01-18,RSV,0
2020-01-25,Influenza,0.8
2020-01-25,RSV,0
2020-02-01,COVID-19,0
2020-02-01,Influenza,0.8
2020-02-01,RSV,0
2020-02-08,Influenza,0.9
2020-02-08,RSV,0
2020-02-15,Influenza,1
2020-02-15,RSV,0
2020-02-22,Influenza,1
2020-02-22,RSV,0
2020-02-29,Influenza,1.1
2020-02-29,RSV,0
2020-03-07,COVID-19,0.1
2020-03-07,Influenza,1.1
2020-03-07,RSV,0
2020-03-14,COVID-19,0.1
2020-03-14,Influenza,1.1
2020-03-14,RSV,0
2020-03-21,COVID-19,1
2020-03-21,Influenza,0.9
2020-03-21,RSV,0
2020-03-28,COVID-19,5.1
2020-03-28,Influenza,0.7
2020-03-28,RSV,0
2020-04-04,COVID-19,14
